team,wins,loses,team_api_id,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass
West Ham United,80,112,8654,Fast,Normal,Mixed,Organised,Risky,Lots,Little,Organised,Deep,Press,Normal,Cover
Swansea City,62,76,10003,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Deep,Press,Normal,Cover
Jagiellonia Białystok,87,89,1957,Balanced,Normal,Mixed,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
SC Freiburg,62,88,8358,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Narrow,Cover
Southampton,60,52,8466,Balanced,Little,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
Atalanta,79,115,8524,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Cagliari,76,114,8529,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Free Form,Medium,Press,Normal,Offside Trap
Palermo,91,107,8540,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
RC Celta de Vigo,54,63,9910,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Parma,74,89,10167,Balanced,Normal,Short,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
Podbeskidzie Bielsko-Biała,42,59,8033,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
FC Augsburg,55,70,8406,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
NAC Breda,71,109,9761,Balanced,Normal,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,Cover
SM Caen,56,81,7819,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Wigan Athletic,50,88,8528,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
AJ Auxerre,53,49,8583,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Granada CF,52,95,7878,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Levante UD,69,103,8581,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Contain,Normal,Cover
Torino,57,74,9804,Fast,Lots,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
Académica de Coimbra,56,110,10215,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Estoril Praia,50,42,7842,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
GKS Bełchatów,62,69,8569,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
RC Deportivo de La Coruña,62,92,9783,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Offside Trap
KSV Cercle Brugge,58,90,9984,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Sporting Charleroi,55,85,9986,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Cracovia,61,96,2186,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
1. FC Nürnberg,49,78,8165,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
CA Osasuna,67,97,8371,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Wide,Cover
FC Sochaux-Montbéliard,69,102,9874,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Fulham,71,95,9879,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Contain,Normal,Cover
KVC Westerlo,54,82,10001,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
PEC Zwolle,49,54,6413,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Ross County FC,50,67,8649,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
RCD Mallorca,67,79,8661,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Sassuolo,37,44,7943,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Racing Santander,37,68,8696,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Crystal Palace,37,53,9826,Balanced,Normal,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Cover
FC Nantes,45,63,9830,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
UD Almería,48,96,9865,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Vitória Setúbal,58,125,10238,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Évian Thonon Gaillard FC,45,71,4087,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Pogoń Szczecin,42,35,8023,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Partick Thistle F.C.,32,48,8426,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Bolton Wanderers,43,76,8559,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
Real Sporting de Gijón,54,92,9869,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Valenciennes FC,65,94,9873,Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
Leicester City,34,22,8197,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
CF Os Belenenses,37,68,9807,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Real Zaragoza,43,75,8394,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
En Avant de Guingamp,37,53,9747,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Stade de Reims,44,66,9837,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
SC Bastia,51,64,7794,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Dundee FC,29,49,8284,Balanced,Normal,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,Cover
Moreirense FC,25,45,8348,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Willem II,44,119,8525,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Blackburn Rovers,42,71,8655,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
KV Oostende,29,23,8573,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Norwich City,39,72,9850,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Real Valladolid,37,68,10281,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Hull City,32,79,8667,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Hellas Verona,32,50,9876,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Waasland-Beveren,24,51,8475,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Contain,Normal,Cover
Catania,67,94,8530,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
FC Aarau,35,75,9930,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Arouca,28,41,158085,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
1. FC Kaiserslautern,17,33,8350,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Stade Brestois 29,27,52,8521,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Wolverhampton Wanderers,25,61,8602,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Vaduz,19,57,9824,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Contain,Normal,Cover
Gil Vicente FC,26,63,9764,Fast,Lots,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Excelsior,27,74,10218,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
Elche CF,20,35,10268,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Angers SCO,13,14,8121,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
SV Darmstadt 98,9,14,8262,Balanced,Normal,Long,Organised,Normal,Lots,Normal,Organised,Deep,Press,Normal,Cover
SD Eibar,20,38,8372,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Empoli,20,28,8534,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
RC Lens,26,54,8588,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Birmingham City,21,29,8658,Balanced,Little,Long,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
Cesena,19,61,9880,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Lierse SK,22,61,9989,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Queens Park Rangers,22,66,10172,Slow,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Go Ahead Eagles,17,37,6433,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Zawisza Bydgoszcz,19,27,8027,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
AC Ajaccio,22,52,8576,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Bournemouth,11,18,8678,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Watford,12,17,9817,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
VfL Bochum,13,34,9911,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Wide,Cover
Blackpool,10,19,8483,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Boavista FC,17,35,8613,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
Bari,18,38,9976,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Royal Excel Mouscron,23,46,274581,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
SC Cambuur,24,52,7788,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Górnik Łęczna,16,27,8019,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC St. Pauli,8,21,8152,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Burnley,15,43,8191,Balanced,Little,Long,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
UD Las Palmas,12,18,8306,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
SpVgg Greuther Fürth,4,21,8357,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Portsmouth,17,41,8462,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
RC Recreativo,8,21,8479,Balanced,Normal,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,Cover
Livorno,13,48,8537,Balanced,Normal,Long,Organised,Normal,Little,Lots,Organised,Deep,Press,Normal,Cover
ES Troyes AC,11,43,10242,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
GFC Ajaccio,8,17,6391,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Ingolstadt 04,10,14,8234,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Karlsruher SC,8,21,8295,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
SC Paderborn 07,7,17,8460,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Contain,Normal,Cover
Le Havre AC,7,26,9746,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Dijon FCO,9,20,9836,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Royal Excel Mouscron,21,46,9996,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Royal Excel Mouscron,21,46,9996,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Carpi,9,18,208931,Fast,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Deep,Press,Normal,Cover
FC Penafiel,5,22,6547,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Córdoba CF,3,24,7869,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Fortuna Düsseldorf,7,18,8194,Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
Cardiff City,7,22,8344,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
Middlesbrough,7,20,8549,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Reading,6,22,9798,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Pescara,6,28,9878,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Frosinone,8,23,9891,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Dordrecht,4,22,6631,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
CD Numancia,10,23,8388,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Metz,7,22,8550,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Eintracht Braunschweig,6,21,9776,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Brescia,7,20,9858,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
CD Tenerife,9,20,9867,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Wide,Cover
AC Arles-Avignon,3,24,108893,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
